GeneId,GeneName,Chromosome,GeneLength,IntronicLength,TranscriptCount,GeneSetId,SplicedFragments,UnsplicedFragments,AdjTPM,RawTPM,FitResiduals,LowMapQualFrags
ENSG00000198400,NTRK1,1,66210,61874,10,1_2,2165,867,1.478e+00,7.901e+02,1431.3,70.0
ENSG00000117020,AKT3,1,362846,355375,10,1_3,133049,41505,1.504e+01,1.756e+04,16940.9,1850.0
ENSG00000068078,FGFR3,4,15565,10749,9,4_0,6973,980,5.558e+00,1.116e+03,1404.5,159.0
ENSG00000134853,PDGFRA,4,69150,59447,10,4_1,569638,28009,3.767e+01,4.128e+04,79375.3,6940.0
ENSG00000157404,KIT,4,82796,77254,4,4_2,49360,4830,3.212e+00,5.112e+03,10273.1,1120.0
ENSG00000128052,KDR,4,47112,40883,3,4_3,34942,3336,4.224e+00,2.995e+03,1260.9,761.0
ENSG00000182578,CSF1R,5,60081,54953,9,5_0,174287,12008,3.250e+01,3.219e+04,38662.2,3505.0
ENSG00000113721,PDGFRB,5,42035,34923,11,5_1,885993,93558,1.377e+02,1.278e+05,139670.7,15840.0
ENSG00000160867,FGFR4,5,11258,6448,17,5_2,6884,1332,4.499e+00,1.296e+03,3116.9,146.0
ENSG00000006468,ETV1,7,100197,90535,24,7_0,71747,4700,1.130e+01,1.516e+04,24623.7,1133.0
ENSG00000146648,EGFR,7,237599,224673,11,7_1,324441,26858,3.885e+01,2.663e+04,73599.5,4503.0
ENSG00000105976,MET,7,125996,118912,8,7_2,539935,31017,3.150e+01,5.215e+04,70615.9,7608.0
ENSG00000157764,BRAF,7,205437,195078,5,7_3,56425,12036,1.732e+01,1.134e+04,22539.3,1613.0
ENSG00000157168,NRG1,8,1125646,1118010,21,8_0,1207,334,2.173e-01,3.243e+02,797.8,41.0
ENSG00000077782,FGFR1,8,57696,45023,40,8_1,162273,13284,5.077e+01,4.667e+04,81120.9,2673.0
ENSG00000136997,MYC,8,5994,3002,5,8_2,97805,13641,5.033e+01,2.112e+04,36186.0,1539.0
ENSG00000170759,KIF5B,10,47421,41570,2,10_0,337844,32857,2.864e+01,2.660e+04,40921.6,6195.0
ENSG00000165731,RET,10,53324,46683,4,10_1,1057,140,2.188e-01,9.946e+01,261.6,6.0
ENSG00000066468,FGFR2,10,120124,112612,22,10_2,20302,2449,7.535e+00,2.821e+03,10247.2,644.0
ENSG00000118058,KMT2A,11,90334,68417,15,11_0,672055,51811,3.073e+01,2.285e+04,158386.0,8118.0
ENSG00000134954,ETS1,11,128797,121658,10,11_1,449303,39379,4.098e+01,5.456e+04,145579.9,5936.0
ENSG00000151702,FLI1,11,126732,118266,10,11_2,69405,6947,1.576e+01,1.474e+04,28572.8,1403.0
ENSG00000135446,CDK4,12,8286,5128,16,12_0,62732,9085,5.095e+01,3.083e+04,48836.0,1711.0
ENSG00000122025,FLT3,13,97318,93176,5,13_0,13143,2483,8.227e-01,1.785e+03,2390.9,541.0
ENSG00000102755,FLT1,13,194776,186739,5,13_1,58994,38282,9.916e+00,7.350e+03,10710.4,1358.0
ENSG00000139618,BRCA2,13,84194,72955,6,13_2,14868,1770,8.152e-01,6.342e+02,3180.3,130.0
ENSG00000140538,NTRK3,15,381769,372724,20,15_0,14004,1774,2.814e+00,2.702e+03,4736.2,192.0
ENSG00000171791,BCL2,18,196782,189120,5,18_0,38838,2578,8.498e+00,6.529e+03,5626.5,174.0
ENSG00000074181,NOTCH3,19,41348,32582,6,19_0,613051,46973,5.900e+01,3.858e+04,75815.2,10683.0
ENSG00000167601,AXL,19,42563,37431,5,19_1,203287,19830,2.147e+01,2.591e+04,61043.2,3238.0
ENSG00000157554,ERG,21,281755,273773,16,21_0,29552,3997,5.964e+00,5.309e+03,7977.4,631.0
ENSG00000184012,TMPRSS2,21,66565,60467,11,21_1,41688,4494,2.278e+01,9.579e+03,11443.4,843.0
ENSG00000169083,AR,X,185996,173914,6,X_0,46060,3991,8.715e+00,2.779e+03,3499.6,643.0
