GeneId,GeneName,TransId,TransName,ExonCount,TranscriptLength,EffectiveLength,FittedFragments,RawFittedFragments,AdjTPM,RawTPM,TranscriptBasesCovered,SJSupported,UniqueSJSupported,UniqueSJFragments,UniqueNonSJFragments,DiscordantFragments,LowMapQualFrags
ENSG00000182944,EWSR1,2321196,ENST00000360091,8,1289,1169,2451.5,1978.8,1.523e+03,9.489e+02,1287,7,1,226,0,13,104.0
ENSG00000182944,EWSR1,2321210,ENST00000490315,4,2301,2181,2951.6,3363.6,9.826e+02,6.123e+02,1749,3,0,0,0,5,176.8
ENSG00000182944,EWSR1,2321260,ENST00000332050,15,2443,2323,3607.9,2928.1,1.128e+03,7.027e+02,2401,14,1,47,0,327,153.9
ENSG00000171094,ALK,2309300,ENST00000389048,29,6220,6100,894.2,853.3,1.064e+02,6.633e+01,3897,13,11,106,8,0,9.5
ENSG00000171094,ALK,2309314,ENST00000453137,4,577,457,0.0,0.0,2.824e-13,1.760e-13,134,1,0,0,0,0,0.0
ENSG00000171094,ALK,2309332,ENST00000498037,5,560,440,0.0,0.0,0.000e+00,0.000e+00,122,0,0,0,0,0,0.0
ENSG00000171094,ALK,2309404,ENST00000431873,4,1353,1233,47.7,62.0,2.811e+01,1.752e+01,972,1,0,0,0,0,0.7
ENSG00000143924,EML4,2435962,ENST00000318522,23,5549,5429,171181.8,151524.1,2.289e+04,1.427e+04,5547,22,0,3,0,183,2864.9
ENSG00000143924,EML4,2435966,ENST00000402711,22,3568,3448,22387.9,24502.8,4.714e+03,2.938e+03,3568,21,1,110,0,154,463.3
ENSG00000143924,EML4,2435974,ENST00000409040,4,962,842,2096.7,1917.7,1.808e+03,1.127e+03,895,3,0,0,0,28,36.3
ENSG00000143924,EML4,2435980,ENST00000482660,3,584,464,65.4,62.6,1.023e+02,6.377e+01,584,2,2,37,0,8,1.2
ENSG00000143924,EML4,2435983,ENST00000401738,24,3797,3677,16665.9,35485.6,3.291e+03,2.051e+03,3797,23,2,298,0,183,670.9
ENSG00000143924,EML4,2435990,ENST00000480320,4,1932,1812,218.5,170.1,8.756e+01,5.457e+01,536,3,0,15,0,1,3.2
ENSG00000143924,EML4,2435999,ENST00000406175,14,4622,4502,18585.3,19742.1,2.997e+03,1.868e+03,4622,13,0,32,0,81,373.3
ENSG00000143924,EML4,2436002,ENST00000472632,2,515,395,0.0,0.0,0.000e+00,0.000e+00,51,0,0,0,0,0,0.0
ENSG00000143924,EML4,2436012,ENST00000453191,8,1455,1335,1033.4,2259.0,5.620e+02,3.502e+02,1455,7,1,140,0,29,42.7
ENSG00000095002,MSH2,2402805,ENST00000233146,16,3307,3187,11551.3,11451.5,2.632e+03,1.640e+03,3177,15,0,0,0,45,241.5
ENSG00000095002,MSH2,2402823,ENST00000454849,4,560,440,0.3,1.8,4.869e-01,3.034e-01,506,3,0,0,0,3,0.0
ENSG00000095002,MSH2,2402838,ENST00000406134,16,3628,3508,248.8,489.4,5.149e+01,3.209e+01,2789,15,0,19,0,45,10.3
ENSG00000095002,MSH2,2402851,ENST00000461394,3,416,296,0.0,0.0,2.000e-07,1.247e-07,168,1,0,0,0,0,0.0
ENSG00000095002,MSH2,2402855,ENST00000467323,2,313,193,0.0,0.0,0.000e+00,0.000e+00,0,0,0,0,0,0,0.0
ENSG00000095002,MSH2,2402865,ENST00000543555,17,3018,2898,18469.4,18770.3,4.627e+03,2.884e+03,2964,16,0,0,0,43,395.8
ENSG00000135903,PAX3,2430221,ENST00000392069,10,3170,3050,0.0,0.0,5.484e-04,3.417e-04,509,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430240,ENST00000344493,8,3109,2989,0.0,0.0,7.784e-04,4.851e-04,509,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430255,ENST00000350526,8,3610,3490,0.0,0.0,3.371e-05,2.101e-05,509,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430270,ENST00000336840,9,2038,1918,24.9,24.2,9.440e+00,5.883e+00,509,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430284,ENST00000392070,9,2258,2138,0.0,0.0,1.468e-05,9.150e-06,427,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430310,ENST00000409551,9,1782,1662,0.0,0.0,2.011e-10,1.253e-10,375,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430324,ENST00000464706,4,822,702,0.0,0.0,8.156e-06,5.083e-06,281,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430329,ENST00000555548,3,458,338,17.1,17.8,3.664e+01,2.283e+01,281,1,0,0,0,0,0.0
ENSG00000135903,PAX3,2430352,ENST00000409828,4,1254,1134,0.0,0.0,0.000e+00,0.000e+00,0,0,0,0,0,0,0.0
ENSG00000135903,PAX3,2430380,ENST00000258387,5,958,838,0.0,0.0,0.000e+00,0.000e+00,0,0,0,0,0,0,0.0
ENSG00000132170,PPARG,2298114,ENST00000397010,8,2017,1897,1020.7,947.7,3.907e+02,2.435e+02,1722,7,1,32,0,79,16.2
ENSG00000132170,PPARG,2298128,ENST00000397029,3,686,566,207.6,45.0,2.664e+02,1.660e+02,411,2,1,83,0,2,0.8
ENSG00000132170,PPARG,2298155,ENST00000309576,8,1870,1750,9713.4,9469.4,4.030e+03,2.511e+03,1791,7,1,363,0,79,161.9
ENSG00000132170,PPARG,2298221,ENST00000397015,7,1722,1602,18815.5,16974.1,8.527e+03,5.314e+03,1684,6,1,728,0,79,290.2
ENSG00000132170,PPARG,2298308,ENST00000455517,2,428,308,2759.1,2804.5,6.504e+03,4.053e+03,421,1,1,1321,58,0,47.9
ENSG00000132170,PPARG,2298322,ENST00000397012,8,2006,1886,25690.1,26687.1,9.890e+03,6.163e+03,1999,7,0,1321,1,80,456.2
ENSG00000132170,PPARG,2298502,ENST00000397026,9,2029,1909,502.4,319.1,1.911e+02,1.191e+02,1776,7,0,0,0,79,5.5
ENSG00000132170,PPARG,2298607,ENST00000497594,6,1600,1480,1859.0,2009.1,9.120e+02,5.683e+02,1033,5,0,0,0,30,34.3
ENSG00000132170,PPARG,2298628,ENST00000438682,4,560,440,5017.7,4991.2,8.280e+03,5.160e+03,480,3,1,16,0,1,85.3
ENSG00000132170,PPARG,2298689,ENST00000397000,6,1122,1002,6997.2,8793.5,5.070e+03,3.160e+03,1122,5,0,0,0,30,150.3
ENSG00000132170,PPARG,2298705,ENST00000477039,5,1705,1585,473.3,512.2,2.168e+02,1.351e+02,1138,4,0,0,0,33,8.8
ENSG00000132170,PPARG,2298854,ENST00000287820,7,1850,1730,11706.7,11680.5,4.913e+03,3.062e+03,1843,6,0,0,0,82,199.7
ENSG00000132170,PPARG,2299140,ENST00000397023,8,2002,1882,685.7,449.9,2.645e+02,1.648e+02,1749,6,0,0,3,79,7.7
ENSG00000132170,PPARG,2299258,ENST00000396999,6,1329,1209,238.4,405.7,1.432e+02,8.922e+01,1248,5,2,15,0,52,6.9
ENSG00000132170,PPARG,2299275,ENST00000539812,6,1122,1002,6997.2,8793.5,5.070e+03,3.160e+03,1122,5,0,0,0,30,150.3
ENSG00000132155,RAF1,2315878,ENST00000251849,17,3300,3180,87941.0,84880.0,2.008e+04,1.251e+04,3262,16,0,0,0,87,1248.9
ENSG00000132155,RAF1,2315957,ENST00000442415,18,3085,2965,2464.9,3799.5,6.036e+02,3.761e+02,3027,16,1,0,0,87,55.9
ENSG00000132155,RAF1,2315987,ENST00000432427,14,1831,1711,4479.2,5868.0,1.901e+03,1.184e+03,1831,13,0,0,0,52,86.3
ENSG00000132155,RAF1,2316130,ENST00000423275,16,2354,2234,1033.2,1167.5,3.358e+02,2.093e+02,2354,15,0,0,0,87,17.2
ENSG00000132155,RAF1,2316143,ENST00000471449,4,804,684,1446.0,1322.9,1.535e+03,9.565e+02,804,3,0,1,0,22,19.5
ENSG00000132155,RAF1,2316153,ENST00000465826,8,1518,1398,519.6,553.2,2.698e+02,1.682e+02,903,7,2,251,7,5,8.1
ENSG00000132155,RAF1,2316166,ENST00000475353,3,599,479,940.7,1014.5,1.426e+03,8.886e+02,480,2,0,0,0,2,14.9
ENSG00000132155,RAF1,2316184,ENST00000494557,2,3205,3085,0.0,0.0,1.204e-13,7.502e-14,524,1,0,0,0,2,0.0
ENSG00000132155,RAF1,2316194,ENST00000460610,3,484,364,1385.8,1521.5,2.764e+03,1.723e+03,465,2,0,0,0,2,22.4
ENSG00000132155,RAF1,2316198,ENST00000491290,4,572,452,2007.9,2442.2,3.225e+03,2.010e+03,572,3,0,26,0,31,35.9
ENSG00000132155,RAF1,2316201,ENST00000416093,5,962,842,510.6,201.2,4.403e+02,2.744e+02,962,4,0,0,0,24,3.0
ENSG00000132155,RAF1,2316218,ENST00000492690,3,633,513,191.3,212.2,2.708e+02,1.688e+02,468,2,0,2,0,17,3.1
ENSG00000132155,RAF1,2316275,ENST00000542177,16,2346,2226,1105.2,1248.6,3.605e+02,2.246e+02,2346,15,0,0,0,87,18.4
ENSG00000132155,RAF1,2316303,ENST00000534997,13,1686,1566,4554.9,5339.6,2.112e+03,1.316e+03,1686,12,0,0,0,35,78.6
ENSG00000121879,PIK3CA,2343871,ENST00000477735,2,245,125,19.1,22.0,1.107e+02,6.897e+01,204,1,1,19,0,0,0.5
ENSG00000121879,PIK3CA,2344584,ENST00000263967,21,9093,8973,84284.1,87012.0,6.820e+03,4.250e+03,3802,20,15,39368,1421,74,2125.3
ENSG00000121879,PIK3CA,2344607,ENST00000468036,2,620,500,4321.4,3999.0,6.275e+03,3.911e+03,538,1,1,26,0,0,97.7
ENSG00000121879,PIK3CA,2344628,ENST00000462255,6,746,626,9400.7,9474.6,1.090e+04,6.795e+03,746,5,0,0,1,13,231.4
ENSG00000244405,ETV5,2333370,ENST00000306376,13,4111,3991,43124.4,42413.3,7.845e+03,4.889e+03,4080,12,0,0,0,28,812.3
ENSG00000244405,ETV5,2333383,ENST00000434744,13,2213,2093,1077.2,1520.9,3.737e+02,2.329e+02,2042,12,0,0,0,28,29.1
ENSG00000244405,ETV5,2333409,ENST00000480706,5,764,644,72.0,74.7,8.118e+01,5.059e+01,752,4,0,8,0,10,1.4
ENSG00000244405,ETV5,2333422,ENST00000433149,4,366,246,0.0,0.0,2.469e-04,1.539e-04,366,2,0,0,0,0,0.0
ENSG00000244405,ETV5,2333443,ENST00000489830,3,614,494,666.1,938.0,9.790e+02,6.101e+02,484,2,0,19,5,0,18.0
ENSG00000244405,ETV5,2333479,ENST00000484223,4,590,470,35.1,18.5,5.420e+01,3.378e+01,297,2,1,22,0,0,0.4
ENSG00000244405,ETV5,2333491,ENST00000472868,3,238,118,0.0,0.0,1.945e-10,1.212e-10,238,0,0,0,0,0,0.0
ENSG00000244405,ETV5,2333493,ENST00000440773,7,574,454,7.4,26.1,1.186e+01,7.391e+00,526,5,0,0,0,0,0.5
ENSG00000244405,ETV5,2333498,ENST00000421809,7,554,434,12.3,37.6,2.060e+01,1.284e+01,554,6,0,0,0,0,0.7
ENSG00000244405,ETV5,2333517,ENST00000413301,7,573,453,0.0,0.0,1.252e-02,7.805e-03,471,5,0,0,0,0,0.0
ENSG00000244405,ETV5,2333581,ENST00000422039,7,564,444,0.0,0.0,3.441e-07,2.145e-07,407,4,0,0,0,0,0.0
ENSG00000244405,ETV5,2333588,ENST00000476890,6,642,522,198.5,218.0,2.760e+02,1.720e+02,556,5,1,129,0,0,4.2
ENSG00000244405,ETV5,2333637,ENST00000475484,2,472,352,19.5,21.8,4.030e+01,2.511e+01,235,0,0,0,0,0,0.4
ENSG00000244405,ETV5,2333647,ENST00000495808,2,187,73,0.0,0.0,3.510e-05,2.187e-05,148,1,0,0,0,0,0.0
ENSG00000244405,ETV5,2333671,ENST00000537818,13,1859,1739,2487.7,2878.7,1.039e+03,6.473e+02,1819,12,0,0,0,28,55.1
ENSG00000047936,ROS1,2416079,ENST00000368508,43,7435,7315,45089.5,46313.5,4.475e+03,2.789e+03,7433,42,3,2307,21,116,883.3
ENSG00000047936,ROS1,2416096,ENST00000368507,44,7417,7297,38483.7,38478.9,3.829e+03,2.386e+03,7415,43,4,1660,0,114,733.9
ENSG00000047936,ROS1,2416108,ENST00000403284,3,681,561,0.0,0.0,4.252e-07,2.650e-07,288,1,0,0,0,0,0.0
ENSG00000091831,ESR1,2313632,ENST00000473497,3,219,99,0.0,0.0,6.233e-06,3.885e-06,146,1,0,0,0,0,0.0
ENSG00000091831,ESR1,2313654,ENST00000404742,3,624,504,757.1,694.8,1.091e+03,6.797e+02,613,2,0,0,0,1,14.5
ENSG00000091831,ESR1,2315004,ENST00000338799,9,3335,3215,6.3,7.6,1.431e+00,8.918e-01,2083,7,0,0,0,0,0.2
ENSG00000091831,ESR1,2315033,ENST00000446550,2,731,611,10.7,10.8,1.274e+01,7.939e+00,611,0,0,0,0,0,0.2
ENSG00000091831,ESR1,2315186,ENST00000206249,8,6455,6335,1325.7,1299.1,1.519e+02,9.468e+01,6250,7,0,0,0,0,27.1
ENSG00000091831,ESR1,2315226,ENST00000406599,4,1251,1131,0.1,0.0,6.576e-02,4.098e-02,1186,2,0,0,0,0,0.0
ENSG00000091831,ESR1,2315239,ENST00000488573,2,530,410,0.0,0.0,1.525e-04,9.502e-05,260,0,0,0,0,0,0.0
ENSG00000091831,ESR1,2315289,ENST00000427531,7,5436,5316,0.0,0.0,1.529e-13,9.528e-14,917,4,0,0,0,0,0.0
ENSG00000091831,ESR1,2315297,ENST00000415488,3,323,203,0.0,0.0,1.852e-03,1.154e-03,323,1,0,0,0,0,0.0
ENSG00000091831,ESR1,2315310,ENST00000482101,3,641,521,0.1,0.3,1.902e-01,1.185e-01,336,0,0,0,0,0,0.0
ENSG00000091831,ESR1,2315375,ENST00000440973,10,6466,6346,2877.9,3188.3,3.293e+02,2.052e+02,6448,9,0,0,0,1,66.6
ENSG00000091831,ESR1,2315396,ENST00000456483,8,5978,5858,931.5,826.2,1.155e+02,7.195e+01,5918,5,0,0,0,0,17.3
ENSG00000091831,ESR1,2315406,ENST00000443427,9,6357,6237,1817.1,1834.9,2.115e+02,1.318e+02,6265,7,0,0,0,0,38.3
ENSG00000096968,JAK2,2273147,ENST00000476574,3,327,207,15.7,31.4,5.495e+01,3.424e+01,242,2,1,14,0,0,0.6
ENSG00000096968,JAK2,2273574,ENST00000381652,25,5285,5165,77175.6,49781.9,1.085e+04,6.761e+03,5279,24,1,1374,1,181,942.7
ENSG00000096968,JAK2,2273589,ENST00000487310,2,773,653,1038.0,638.1,1.154e+03,7.192e+02,543,1,0,0,0,14,12.1
ENSG00000096968,JAK2,2273603,ENST00000539801,24,3535,3415,16645.3,44711.9,3.539e+03,2.205e+03,3503,23,1,30,0,181,846.7
ENSG00000096968,JAK2,2273626,ENST00000544510,22,3381,3261,2107.4,3963.6,4.692e+02,2.924e+02,3107,20,0,0,0,92,75.1
ENSG00000171843,MLLT3,2334315,ENST00000380338,11,6772,6652,18286.4,14161.6,1.996e+03,1.244e+03,6681,10,0,0,0,7,523.0
ENSG00000171843,MLLT3,2334375,ENST00000380323,6,1983,1863,2012.4,2874.3,7.843e+02,4.887e+02,1876,3,0,0,0,2,106.2
ENSG00000171843,MLLT3,2334382,ENST00000469261,3,476,356,182.8,211.6,3.728e+02,2.323e+02,476,2,1,131,0,1,7.8
ENSG00000171843,MLLT3,2334398,ENST00000488705,4,457,337,0.5,1.8,1.078e+00,6.719e-01,368,3,1,0,0,1,0.1
ENSG00000171843,MLLT3,2334454,ENST00000380321,7,708,588,3.5,11.3,4.337e+00,2.703e+00,609,5,0,0,0,3,0.4
ENSG00000171843,MLLT3,2334470,ENST00000468513,5,563,443,0.0,0.0,2.315e-07,1.443e-07,306,2,0,0,0,2,0.0
ENSG00000171843,MLLT3,2334475,ENST00000491137,5,488,368,0.0,0.0,3.531e-08,2.201e-08,295,2,0,0,0,0,0.0
ENSG00000171843,MLLT3,2334518,ENST00000475957,5,2059,1939,214.0,242.1,8.012e+01,4.993e+01,1449,3,0,0,0,0,8.9
ENSG00000171843,MLLT3,2334535,ENST00000429426,11,2040,1920,9955.6,11429.9,3.765e+03,2.346e+03,2022,10,1,73,1,8,422.1
ENSG00000171843,MLLT3,2334598,ENST00000355930,10,3367,3247,13985.0,16117.4,3.127e+03,1.949e+03,3366,8,0,0,0,6,595.3
ENSG00000148053,NTRK2,2417890,ENST00000376208,14,8178,8058,1286.4,1343.1,1.159e+02,7.224e+01,7969,13,0,0,0,24,12.2
ENSG00000148053,NTRK2,2417897,ENST00000304053,15,8226,8106,673.3,704.2,6.031e+01,3.758e+01,8017,14,0,0,0,24,6.4
ENSG00000148053,NTRK2,2417926,ENST00000277120,19,4057,3937,166.5,192.3,3.071e+01,1.914e+01,3922,18,0,0,0,24,1.7
ENSG00000148053,NTRK2,2417947,ENST00000323115,17,3708,3588,288.5,357.9,5.838e+01,3.638e+01,3574,16,0,0,0,24,3.3
ENSG00000148053,NTRK2,2417968,ENST00000359847,12,6646,6526,51823.2,52805.8,5.766e+03,3.593e+03,6645,11,0,0,0,30,479.8
ENSG00000148053,NTRK2,2417981,ENST00000376214,21,5608,5488,337.6,356.8,4.466e+01,2.783e+01,5472,20,0,0,0,24,3.2
ENSG00000148053,NTRK2,2417986,ENST00000376213,20,5560,5440,891.8,940.2,1.190e+02,7.417e+01,5424,19,0,0,0,24,8.5
ENSG00000148053,NTRK2,2417996,ENST00000395882,13,7111,6991,25102.7,22409.3,2.607e+03,1.625e+03,7095,12,0,0,0,30,203.6
ENSG00000148053,NTRK2,2418033,ENST00000395866,12,1791,1671,2990.2,4702.0,1.299e+03,8.097e+02,1765,11,1,50,0,18,42.7
ENSG00000097007,ABL1,2365065,ENST00000372348,11,3824,3704,27169.2,23897.9,5.326e+03,3.319e+03,3824,10,1,701,30,149,219.4
ENSG00000097007,ABL1,2365079,ENST00000393293,2,532,412,2824.3,2559.6,4.977e+03,3.102e+03,532,1,1,33,0,0,23.5
ENSG00000097007,ABL1,2365123,ENST00000318560,11,5766,5646,127784.5,131509.6,1.643e+04,1.024e+04,5457,10,1,1933,7,125,1207.4
ENSG00000148400,NOTCH1,2397338,ENST00000277541,34,9371,9251,223504.8,227093.0,1.754e+04,1.093e+04,9308,33,31,92180,3373,269,4965.1
ENSG00000148400,NOTCH1,2397352,ENST00000494783,3,652,532,0.0,0.0,2.361e-11,1.471e-11,512,1,0,0,0,1,0.0
ENSG00000148400,NOTCH1,2397356,ENST00000491649,2,743,623,219.8,1.2,2.562e+02,1.597e+02,537,1,0,0,0,5,0.0
ENSG00000141736,ERBB2,2334089,ENST00000584601,31,4792,4672,1133.0,1338.2,1.761e+02,1.097e+02,4574,29,0,6,0,297,25.4
ENSG00000141736,ERBB2,2334103,ENST00000584014,4,849,729,7.1,9.0,7.057e+00,4.398e+00,789,3,1,5,1,0,0.2
ENSG00000141736,ERBB2,2334111,ENST00000578199,18,2526,2406,1304.2,1517.7,3.936e+02,2.453e+02,2516,17,0,0,0,242,28.8
ENSG00000141736,ERBB2,2334140,ENST00000445658,21,3238,3118,5031.3,4854.4,1.172e+03,7.301e+02,3238,19,0,0,0,109,92.0
ENSG00000141736,ERBB2,2334181,ENST00000584450,26,3730,3610,21566.5,19768.8,4.338e+03,2.703e+03,3730,25,1,2,0,270,374.6
ENSG00000141736,ERBB2,2334225,ENST00000582648,8,1013,893,456.8,97.0,3.714e+02,2.314e+02,1013,7,0,0,0,37,1.8
ENSG00000141736,ERBB2,2334254,ENST00000582788,8,2004,1884,2161.4,1467.8,8.329e+02,5.191e+02,1980,7,0,0,0,47,27.8
ENSG00000141736,ERBB2,2334396,ENST00000578373,27,4523,4403,20825.3,17660.4,3.434e+03,2.140e+03,4523,26,1,118,1,298,334.7
ENSG00000141736,ERBB2,2334431,ENST00000269571,27,4545,4425,30888.5,28199.9,5.068e+03,3.158e+03,4543,26,0,0,0,298,534.4
ENSG00000141736,ERBB2,2334450,ENST00000584908,8,1316,1196,12397.9,9715.9,7.526e+03,4.690e+03,1188,7,0,0,0,188,184.1
ENSG00000141736,ERBB2,2334462,ENST00000578709,3,559,439,2.5,3.1,4.196e+00,2.615e+00,421,1,0,0,1,65,0.1
ENSG00000141736,ERBB2,2334477,ENST00000584099,4,583,463,2.1,3.9,3.360e+00,2.094e+00,434,2,0,0,0,65,0.1
ENSG00000141736,ERBB2,2334487,ENST00000583038,17,4930,4810,1287.0,1844.6,1.943e+02,1.211e+02,3813,16,0,0,0,187,35.0
ENSG00000141736,ERBB2,2334497,ENST00000583391,4,465,345,3078.4,2842.4,6.478e+03,4.037e+03,464,3,0,0,0,2,53.9
ENSG00000141736,ERBB2,2334503,ENST00000578502,5,497,377,1212.3,2458.7,2.335e+03,1.455e+03,464,3,1,1,0,70,46.6
ENSG00000141736,ERBB2,2334507,ENST00000582818,6,529,409,91.0,95.6,1.615e+02,1.006e+02,529,5,1,0,0,0,1.8
ENSG00000141736,ERBB2,2334515,ENST00000578630,5,874,754,97.5,110.2,9.384e+01,5.848e+01,646,4,0,0,0,4,2.1
ENSG00000141736,ERBB2,2334521,ENST00000584684,2,649,529,74.6,73.6,1.024e+02,6.380e+01,649,1,0,58,0,0,1.4
ENSG00000141736,ERBB2,2334532,ENST00000580074,6,754,634,1695.5,3149.3,1.942e+03,1.210e+03,754,5,1,77,0,18,59.7
ENSG00000141736,ERBB2,2334542,ENST00000584888,2,500,380,0.0,0.0,6.837e-21,4.261e-21,97,0,0,0,0,0,0.0
ENSG00000141736,ERBB2,2334547,ENST00000541774,27,4341,4221,36357.2,45192.5,6.254e+03,3.897e+03,4339,26,0,0,0,297,856.4
ENSG00000141736,ERBB2,2334554,ENST00000406381,29,4806,4686,6312.8,7964.5,9.781e+02,6.095e+02,4804,27,0,0,0,297,150.9
ENSG00000141736,ERBB2,2334565,ENST00000540147,27,4624,4504,30673.3,28161.5,4.945e+03,3.081e+03,4622,26,0,0,0,298,533.6
ENSG00000141736,ERBB2,2334587,ENST00000540042,15,2147,2027,10069.5,12221.0,3.607e+03,2.248e+03,1998,13,0,0,0,242,231.6
ENSG00000012048,BRCA1,2439611,ENST00000357654,23,7094,6974,5106.8,4902.5,5.317e+02,3.313e+02,7075,22,0,0,0,0,161.0
ENSG00000012048,BRCA1,2439665,ENST00000468300,22,3273,3153,116.7,179.6,2.686e+01,1.674e+01,3272,20,0,0,0,0,5.9
ENSG00000012048,BRCA1,2439681,ENST00000586385,8,781,661,115.4,143.2,1.268e+02,7.900e+01,781,6,0,0,0,0,4.7
ENSG00000012048,BRCA1,2439686,ENST00000591534,11,1282,1162,118.9,153.2,7.426e+01,4.628e+01,1282,10,1,5,0,0,5.0
ENSG00000012048,BRCA1,2439696,ENST00000591849,5,563,443,0.4,1.2,5.871e-01,3.659e-01,435,2,0,0,0,0,0.0
ENSG00000012048,BRCA1,2439726,ENST00000493795,22,5732,5612,2307.1,2904.1,2.985e+02,1.860e+02,5681,20,0,0,0,0,95.4
ENSG00000012048,BRCA1,2439734,ENST00000471181,24,5936,5816,1326.4,1578.4,1.656e+02,1.032e+02,5916,23,2,26,0,0,51.8
ENSG00000012048,BRCA1,2439800,ENST00000461221,23,5693,5573,1959.8,2283.3,2.553e+02,1.591e+02,5693,22,0,0,0,0,75.0
ENSG00000012048,BRCA1,2439804,ENST00000491747,23,2379,2259,47.4,40.5,1.522e+01,9.486e+00,2374,22,0,0,0,0,1.3
ENSG00000012048,BRCA1,2439806,ENST00000484087,12,1495,1375,859.7,1012.9,4.539e+02,2.829e+02,1495,11,0,0,0,0,33.3
ENSG00000012048,BRCA1,2439810,ENST00000478531,18,1972,1852,28.3,44.0,1.109e+01,6.913e+00,1964,17,0,0,0,0,1.4
ENSG00000012048,BRCA1,2439813,ENST00000493919,17,1948,1828,3.9,6.3,1.556e+00,9.695e-01,1897,15,0,0,0,0,0.2
ENSG00000012048,BRCA1,2439838,ENST00000472490,2,561,441,104.8,109.1,1.726e+02,1.076e+02,327,1,0,6,0,0,3.6
ENSG00000012048,BRCA1,2439840,ENST00000487825,7,800,680,42.9,52.6,4.585e+01,2.857e+01,800,6,0,3,0,0,1.7
ENSG00000012048,BRCA1,2439849,ENST00000461574,4,726,606,724.2,923.1,8.676e+02,5.407e+02,726,3,0,0,0,0,30.3
ENSG00000012048,BRCA1,2439971,ENST00000467274,10,4497,4377,1309.6,1524.6,2.172e+02,1.354e+02,4235,9,0,0,0,0,50.1
ENSG00000012048,BRCA1,2439976,ENST00000412061,2,1312,1192,228.6,229.8,1.392e+02,8.676e+01,1312,1,0,0,0,0,7.5
ENSG00000012048,BRCA1,2439989,ENST00000470026,10,2108,1988,25.5,26.1,9.326e+00,5.812e+00,2108,9,0,0,0,0,0.9
ENSG00000012048,BRCA1,2439998,ENST00000477152,9,1980,1860,9.0,11.1,3.521e+00,2.194e+00,1967,7,0,0,0,0,0.4
